Name,HomeCountry,Sport,Year,HostCountry,GoldMedal,SilverMedal,BronzeMedal,TotalMedals
Edward Gal,The Netherlands,Equestrian Dressage,2020,Japan,,,,0
Vicky Galindo,United States,Softball,1996,United States,,,,0
Vicky Galindo,United States,Softball,2008,China,,1,,1
Carol Gattaz,Brazil,Volleyball,2020,Japan,,1,,1
Regina George,Nigeria,Track Athletics,2012,United Kingdom,,,,0
Emily Gielnik,Australia,Football,2020,Japan,,,,0
Ginny Gilder,United States,Rowing,1984,United States,,1,,1
Elodie Godin,France,Basketball,2012,United Kingdom,,1,,1
Melissa González,United States,Hockey,2012,United Kingdom,,,,0
Melissa González,United States,Hockey,2016,Brazil,,,,0
Shelley Gorman-Sandie,Australia,Basketball,1988,South Korea,,,,0
Shelley Gorman-Sandie,Australia,Basketball,2996,United States,,,1,1
Shelley Gorman-Sandie,Australia,Basketball,2000,Australia,,1,,1
Katrina Gorry,Australia,Football,2016,Brazil,,,,0
Jasmin (née Kulbs) Grabowksi,Germany,Judo,2016,Brazil,,,,0
Jasmin (née Kulbs) Grabowksi,Germany,Judo,2020,Japan,,,1,1
Chelsea Gray,United States,Basketball,2020,Japan,1,,,1
Susan Gray McGreivy,United States,Swimming,1956,Australia,,,,0
Kelly Griffin,United States,Rugby Sevens,2016,Brazil,,,,0
Brittney Griner,United States,Basketball,2016,Brazil,1,,,1
Brittney Griner,United States,Basketball,2020,Japan,1,,,1
Inka Grings,Germany,Football,2000,Australia,,,1,1
Annie Guglia,Canada,Skateboarding,2020,Japan,,,,0
Astrid Guyart,France,Fencing,2008,China,,,,0
Astrid Guyart,France,Fencing,2012,United Kingdom,,,,0
Astrid Guyart,France,Fencing,2016,Brazil,,,,0
Astrid Guyart,France,Fencing,2020,Japan,,1,,1
Peter Häggström Lindecrantz,Sweden,Long Jump,2000,Australia,,,,0
Nathalie Hagman,Sweden,Handball,2016,Brazil,,,,0
Nathalie Hagman,Sweden,Handball,2020,Japan,,1,,1
Gro Hammerseng,Norway,Handball,2008,China,1,,,1
Kellie Harrington,Ireland,Boxing,2020,Japan,1,,,1
Jessica Harrison,France,Triathlon,2008,China,,,,0
Jessica Harrison,France,Triathlon,2012,United Kingdom,,,,0
Tone Haugen,Norway,Football,1996,United States,,,1,1
Tiia Hautala,Finland,Heptathlon,1996,United States,,,,0
Tiia Hautala,Finland,Heptathlon,2000,Australia,,,,0
Tiia Hautala,Finland,Heptathlon,2004,Greece,,,,0
Cheryl Haworth,United States,Weightlifting,2000,Australia,,,1,1
Cheryl Haworth,United States,Weightlifting,2004,Greece,,,,0
Cheryl Haworth,United States,Weightlifting,2008,China,,,,0
Bruce Hayes,United States,Swimming,1984,United States,1,,,1
Mathew Helm,Australia,Diving,2000,Australia,,,,0
Mathew Helm,Australia,Diving,2004,Greece,,1,1,2
Mathew Helm,Australia,Diving,2008,China,,,,0
Mélanie Henique,France,Swimming,2016,Brazil,,,,0
Mélanie Henique,France,Swimming,2020,Japan,,,,0
Isabell Herlovsen,Norway,Football,2008,China,,,,0
Raz Hershko,Israel,Judo,2020,Japan,,,1,1
Carl Hester,United Kingdom,Equestrian Dressage,1992,Spain,,,,0
Carl Hester,United Kingdom,Equestrian Dressage,2000,Australia,,,,0
Carl Hester,United Kingdom,Equestrian Dressage,2004,Greece,,,,0
Carl Hester,United Kingdom,Equestrian Dressage,2012,United Kingdom,1,,,1
Carl Hester,United Kingdom,Equestrian Dressage,2016,Brazil,,1,,1
Carl Hester,United Kingdom,Equestrian Dressage,2020,Japan,,,1,1
Michelle Heyman,Australia,Football,2016,Brazil,,,,0
Kinmont Hoitsma,United States,Fencing,1956,Australia,,,,0
Chamique Holdsclaw,United States,Basketball,2000,Australia,1,,,1
Ursula Holl,Germany,Football,2008,China,,,1,1
Shelley Holroyd,United Kingdom,Javelin,1996,United States,,,,0
Kate Howey,United Kingdom,Judo,1992,Spain,,,1,1
Kate Howey,United Kingdom,Judo,1996,United States,,,,0
Kate Howey,United Kingdom,Judo,2000,Australia,,1,,1
Kate Howey,United Kingdom,Judo,2004,Greece,,,,0
Laurel Hubbard,New Zealand,Weightlifting,2020,Japan,,,,0
Angela Hucles,United States,Football,2004,Greece,1,,,1
Angela Hucles,United States,Football,2008,China,1,,,1
Karen Hultzer,South Africa,Archery,2012,United Kingdom,,,,0
Mia Hundvin,Norway,Handball,2000,Australia,,,1,1
Maarten Hurkmans,The Netherlands,Rowing,2020,Japan,,,,0
Lina Hurtig,Sweden,Football,2020,Japan,,1,,1
Svenja Huth,Germany,Football,2016,Brazil,1,,,1
Diego Hypólito,Brazil,Gymnastics,2008,China,,,,0
Diego Hypólito,Brazil,Gymnastics,2012,United Kingdom,,,,0
Diego Hypólito,Brazil,Gymnastics,2016,Brazil,,1,,1
Colin Jackson,United Kingdom,Hurdles,1988,South Korea,,1,,1
Colin Jackson,United Kingdom,Hurdles,1992,Spain,,,,0
Colin Jackson,United Kingdom,Hurdles,1996,United States,,,,0
Colin Jackson,United Kingdom,Hurdles,2000,Australia,,,,0
Colin Jackson,United Kingdom,Hurdles,2004,Greece,,,,0
Aleksandra Jarmolińska,Poland,Shooting,2016,Brazil,,,,0
Aleksandra Jarmolińska,Poland,Shooting,2020,Japan,,,,0
Patrick Jeffrey,United States,Diving,1988,South Korea,,,,0
Patrick Jeffrey,United States,Diving,1996,United States,,,,0
Caitlyn Jenner,United States,Decathlon,1972,Germany,,,,0
Caitlyn Jenner,United States,Decathlon,1976,Canada,1,,,1
Clarke Johnstone,New Zealand,Equestrian 3-Day Event,2016,Brazil,,,,0
Asjha Jones,United States,Basketball,2012,United Kingdom,1,,,1
Megan Jones,United Kingdom,Rugby Sevens,2020,Japan,,,,0
Sarah Jones,United Kingdom,Hockey,2020,Japan,,,1,1
Steffi Jones,Germany,Football,2000,Australia,,,1,1
Steffi Jones,Germany,Football,2004,Greece,,,1,1
Kamilla Rytter Juhl,Denmark,Badminton,2008,China,,,,0
Kamilla Rytter Juhl,Denmark,Badminton,2012,United Kingdom,,,,0
Kamilla Rytter Juhl,Denmark,Badminton,2016,Brazil,,1,,1
Natasha Kai,United States,Football,2008,China,1,,,1
Ariella Käslin,Switzerland,Gymnastics,2008,China,,,,0
Alev Kelter,United States,Rugby Sevens,2016,Brazil,,,,0
Alev Kelter,United States,Rugby Sevens,2020,Japan,,,,0
John Kenkhuis,The Netherlands,Swimming,2000,Australia,,,1,1
John Kenkhuis,The Netherlands,Swimming,2004,Greece,,1,,1
Samantha Kerr,Australia,Football,2016,Brazil,,,,0
Samantha Kerr,Australia,Football,2020,Japan,,,,0
Isabel Kerschowski,Germany,Football,2016,Brazil,1,,,1
Emma Kete,New Zealand,Football,2008,China,,,,0
Bruce Kidd,Canada,Track Athletics,1964,Japan,,,,0
Nienke Kingma,The Netherlands,Rowing,2008,China,,1,,1
Nienke Kingma,The Netherlands,Rowing,2012,United Kingdom,,,1,1
Fran Kirby,United Kingdom,Football,2020,Japan,,,,0
Sandra Kirby,Canada,Rowing,1976,Canada,,,,0
Jen Kish,Canada,Rugby Sevens,2016,Brazil,,,1,1
Ewa Klobukowska,Poland,Track Athletics,1964,Japan,1,,1,2
Valentina Kogan,Argentina,Handball,2016,Brazil,,,,0
Dominik Koll,Austria,Swimming,2004,Greece,,,,0
Dominik Koll,Austria,Swimming,2008,China,,,,0
Daniel Kowalski,Australia,Swimming,1996,United States,,,2,2
Daniel Kowalski,Australia,Swimming,2000,Australia,1,,,1
Daniel Kowalski,Australia,Swimming,2004,Greece,,,,0
Katarina Howplos,Australia,Shooting,2020,Japan,,,,0
Katja Kraus,Germany,Football,1996,United States,,,,0
Kelly Kretschman,United States,Softball,2004,Greece,1,,,1
Kelly Kretschman,United States,Softball,2008,China,,1,,1
Ali Krieger,United States,Football,2016,Brazil,,,,0
Caroline Kumahara,Brazil,Table Tennis,2012,United Kingdom,,,,0
Caroline Kumahara,Brazil,Table Tennis,2016,Brazil,,,,0
Caroline Kumahara,Brazil,Table Tennis,2020,Japan,,,,0
Anne Kursinski,United States,Equestrian Jumping,1984,United States,,,,0
Anne Kursinski,United States,Equestrian Jumping,1988,South Korea,,1,,1
Anne Kursinski,United States,Equestrian Jumping,1992,Spain,,,,0
Anne Kursinski,United States,Equestrian Jumping,1996,United States,,1,,1
Anne Kursinski,United States,Equestrian Jumping,2008,China,,,,0
Holly Lam-Moores,United Kingdom,Handball,2012,United Kingdom,,,,0
Kim Lammers,United Kingdom,Handball,2012,United Kingdom,1,,,1
Ghislaine Landry,Canada,Rugby Sevens,2016,Brazil,,,1,1
Ghislaine Landry,Canada,Rugby Sevens,2020,Japan,,,,0
Lotte Kiærskou,Denmark,Handball,2000,Australia,1,,,1
Lotte Kiærskou,Denmark,Handball,2004,Greece,1,,,1
Stephanie Labbé,Canada,Football,2016,Brazil,,,1,1
Stephanie Labbé,Canada,Football,2020,Japan,1,,,1
Alexandra Lacrabère,France,Handball,2008,China,,,,0
Alexandra Lacrabère,France,Handball,2012,United Kingdom,,,,0
Alexandra Lacrabère,France,Handball,2016,Brazil,,1,,1
Alexandra Lacrabère,France,Handball,2020,Japan,1,,,1
Jessica Landström,Sweden,Football,2008,China,,,,0
Jessica Landström,Sweden,Football,2012,United Kingdom,,,,0
Lauren Lappin,United States,Softball,2008,China,,1,,1
Marjorie Larney,United States,Discus & Javeline,1952,Finland,,,,0
Marjorie Larney,United States,Discus & Javeline,1956,Australia,,,,0
Johanna Larsson,Sweden,Tennis,2016,Brazil,,,,0
Sheena Lawrick,Canada,Softball,2004,Greece,,,,0
Sheena Lawrick,Canada,Softball,2008,China,,,,0
Marion Lay,Canada,Swimming,1964,Japan,,,,0
Marion Lay,Canada,Swimming,1968,Mexico,,,1,1
Mark Leduc,Canada,Boxing,1992,Spain,,1,,1
Evy Leibfath,United States,Canoeing,2020,Japan,,,,0
Casey Legler,France,Swimming,1996,United States,,,,0
Malin Levenstad,Sweden,Football,2012,United Kingdom,,,,0
Amandine Leynaud,France,Handball,2008,China,,,,0
Amandine Leynaud,France,Handball,2012,United Kingdom,,,,0
Amandine Leynaud,France,Handball,2016,Brazil,,1,,1
Amandine Leynaud,France,Handball,2020,Japan,1,,,1
Danell Levya,United States,Gymnastics,2012,United Kingdom,,,1,1
Danell Levya,United States,Gymnastics,2016,Brazil,,2,,2
Silvana Lima,Brazil,Surfing,2020,Japan,,,,0
Hedwig Lindahl,Sweden,Football,2008,China,,,,0
Hedwig Lindahl,Sweden,Football,2012,United Kingdom,,,,0
Hedwig Lindahl,Sweden,Football,2016,Brazil,,1,,1
Hedwig Lindahl,Sweden,Football,2020,Japan,,1,,1
Ari-Pekka Liukkonen,Finland,Swimming,2012,United Kingdom,,,,0
Ari-Pekka Liukkonen,Finland,Swimming,2016,Brazil,,,,0
Ari-Pekka Liukkonen,Finland,Swimming,2020,Japan,,,,0
Chloe Logarzo,Australia,Football,2016,Brazil,,,,0
Chloe Logarzo,Australia,Football,2020,Japan,,,,0
Greg Louganis,United States,Diving,1976,Canada,,1,,1
Greg Louganis,United States,Diving,1984,United States,2,,,2
Greg Louganis,United States,Diving,1988,South Korea,2,,,2
Fritzi Löwy,Austria,Swimming,1928,The Netherlands,,,,0
Sabrina Lozada-Cabbage,Puerto Rico,Basketball,2020,Japan,,,,0
Kaili Lukan,Canada,Rugby Sevens,2020,Japan,,,,0
Joey Lye,Canada,Softball,2020,Japan,,,1,1
Zoe MacKinnon,Canada,Hockey,1984,United States,,,,0
Irish Magno,Phillipines,Boxing,2020,Japan,,,,0
Florence Maheu,Canada,Canoeing,2020,Japan,,,,0
Laurence Manfredi,France,Shot Put,2000,Australia,,,,0
Laurence Manfredi,France,Shot Put,2004,Greece,,,,0
Marta Mangué,Spain,Handball,2004,Greece,,,,0
Marta Mangué,Spain,Handball,2012,United Kingdom,,,1,1
Marta Mangué,Spain,Handball,2016,Brazil,,,,0
Robbie Manson,New Zealand,Rowing,2012,United Kingdom,,,,0
Robbie Manson,New Zealand,Rowing,2016,Brazil,,,,0
David Marcus,Canada,Equestrian Dressage,2012,United Kingdom,,,,0
Gail Marquis,United States,Basketball,1976,Canada,,1,,1
Brian Marshall,Canada,High Jump,1988,South Korea,,,,0
Ludovic Martin,Switzerland,Trampoline,2004,Greece,,,,0
Conchita Martínez,Spain,Tennis,1992,Spain,,1,,1
Conchita Martínez,Spain,Tennis,1996,United Kingdom,,,1,1
Conchita Martínez,Spain,Tennis,2000,Australia,,,,0
Conchita Martínez,Spain,Tennis,2004,Greece,,1,,1
Ian Matos,Brazil,Diving,2016,Brazil,,,,0
Amélie Mauresmo,France,Tennis,2000,Australia,,,,0
Amélie Mauresmo,France,Tennis,2004,Greece,,1,,1
Marnie McBean,Canada,Rowing,1992,Spain,2,,,2
Marnie McBean,Canada,Rowing,1996,United States,1,,1,2
Martha McCabe,Canada,Swimming,2012,United Kingdom,,,,0
Martha McCabe,Canada,Swimming,2016,Brazil,,,,0
Haylie McCleney,United States,Softball,2020,Japan,,,,0
Angel McCoughtry,United States,Basketball,2012,United Kingdom,1,,,1
Angel McCoughtry,United States,Basketball,2016,Brazil,1,,,1
Raasin McIntosh,Liberia,Hurdles,2012,United Kingdom,,,,0
Erin McLeod,Canada,Football,2008,China,,,,0
Erin McLeod,Canada,Football,2012,United Kingdom,,,1,1
Erin McLeod,Canada,Football,2020,Japan,,,,0
Inika McPherson,United States,High Jump,2016,Brazil,,,,0
Lauren Meece,United States,Judo,2000,Australia,,,,0
Linda Medalen,Norway,Football,1996,United States,,,1,1
Ioannis Melissanidis,Greece,Gymnastics,1996,United States,1,,,1
Ioannis Melissanidis,Greece,Gymnastics,2000,Australia,,,,0
Ioannis Melissanidis,Greece,Gymnastics,2004,Greece,,,,0
Kim Mestdagh,Belgium,Basketball,2020,Japan,,,,0
"Harriet ""Holly"" Metcalf",United States,Rowing,1984,United States,1,,,1
Kristie Mewis,United States,Football,2020,Japan,,,,0
Teagan Micah,Australia,Football,2020,Japan,,,,0
Theresa Michalak,Germany,Swimming,2012,United Kingdom,,,,0
Bárbara Micheline Barbosa,Brazil,Football,2008,China,,1,,1
Bárbara Micheline Barbosa,Brazil,Football,2016,Brazil,,,,0
Bárbara Micheline Barbosa,Brazil,Football,2020,Japan,,,,0
Domien Michiels,Belgium,Equestrian Dressage,2020,Japan,,,,0
Vivianne Miedema,The Netherlands,Football,2020,Japan,,,,0
Hans Peter Minderhoud,The Netherlands,Equestrian Dressage,2008,China,,1,,1
Hans Peter Minderhoud,The Netherlands,Equestrian Dressage,2016,Brazil,,,,0
Hans Peter Minderhoud,The Netherlands,Equestrian Dressage,2020,Japan,,,,0
Kayla Miracle,United States,Wrestling,2020,Japan,,,,0
Matthew Mitcham,Australia,Diving,2008,China,1,,,1
Matthew Mitcham,Australia,Diving,2012,United Kingdom,,,,0
Leilani Mitchell,Australia,Basketball,2016,Brazil,,,,0
Leilani Mitchell,Australia,Basketball,2020,Japan,,,,0
Portia Modise,South Africa,Football,2012,United Kingdom,,,,0
Marcia Morey,United States,Swimming,1976,Canada,,,,0
George Morris,United States,Equestrian Jumping,1960,Italy,,1,,1
Jenn Morris,Australia,Hockey,1996,United States,1,,,1
Jenn Morris,Australia,Hockey,2000,Australia,1,,,1
Miraildes “Formiga” Mota,Brazil,Football,1996,United States,,,,0
Miraildes “Formiga” Mota,Brazil,Football,2000,Australia,,,,0
Miraildes “Formiga” Mota,Brazil,Football,2004,Greece,,1,,1
Miraildes “Formiga” Mota,Brazil,Football,2008,China,,1,,1
Miraildes “Formiga” Mota,Brazil,Football,2012,United States,,,,0
Miraildes “Formiga” Mota,Brazil,Football,2016,Brazil,,,,0
Miraildes “Formiga” Mota,Brazil,Football,2020,Japan,,,,0
Sofía Mulánovich,Peru,Surfing,2020,Japan,,,,0
Nadine Müller,Germany,Discus,2012,United Kingdom,,,,0
Nadine Müller,Germany,Discus,2016,Brazil,,,,0
Eefje Muskens,The Netherlands,Badminton,2016,Brazil,,,,0
Leigh-Ann Naidoo,South Africa,Beach Volleyball,2004,Greece,,,,0
Marie-Ève Nault,Canada,Football,2012,United Kingdom,,,1,1
Marie-Ève Nault,Canada,Football,2016,Brazil,,,1,1
Silvia Navarro,Spain,Handball,2012,United Kingdom,,,1,1
Silvia Navarro,Spain,Handball,2016,Brazil,,,,0
Silvia Navarro,Spain,Handball,2020,Japan,,,,0
Martina Navratilova,United States,Tennis,2004,Greece,,,,0
Ashley Nee,United States,Kayaking,2016,Brazil,,,,0
Steffi Nerius,Germany,Javelin,1996,United States,,,,0
Steffi Nerius,Germany,Javelin,2000,Australia,,,,0
Steffi Nerius,Germany,Javelin,2004,Greece,,1,,1
Steffi Nerius,Germany,Javelin,2008,China,,,,0
Rob Newton,United Kingdom,Hurdles,2004,Greece,,,,0
Laura Nicholls,Spain,Basketball,2008,China,,,,0
Laura Nicholls,Spain,Basketball,2016,Brazil,,1,,1
Francine Niyonsaba,Burundi,Track Athletics,2012,United Kingdom,,,,0
Francine Niyonsaba,Burundi,Track Athletics,2016,Brazil,,1,,1
Francine Niyonsaba,Burundi,Track Athletics,2020,Japan,,1,,1
Bente Nordby,Norway,Football,1996,United States,,,1,1
Bente Nordby,Norway,Football,2000,Australia,1,,,1
Jana Novotná,Czech Republic,Tennis,1988,South Korea,,1,,1
Jana Novotná,Czech Republic,Tennis,1992,Spain,,,,0
Jana Novotná,Czech Republic,Tennis,1996,United States,,1,1,2
Katja Nyberg,Norway,Handball,2008,China,1,,,1
Graeme Obree,United Kingdom,Cycling,1996,United States,,,,0
Paul O'Brien,New Zealand,Equestrian 3-Day Event,2000,Australia,,,,0
Jolanta Ogar,Poland,Sailing,2012,United Kingdom,,,,0
Jolanta Ogar,Poland,Sailing,2020,Japan,,1,,1
Jolanta Ogar,Austria,Sailing,2016,Brazil,,,,0
Tzipora Obziler,Israel,Tennis,2008,China,,,,0
Grace O'Hanlon,New Zealand,Hockey,2020,Japan,,,,0
Kelley O'Hara,United States,Football,2012,United Kingdom,1,,,1
Kelley O'Hara,United States,Football,2016,Brazil,,,,0
Kelley O'Hara,United States,Football,2020,Japan,,,1,1
Meghan O'Leary,United States,Rowing,2016,Brazil,,,,0
Meghan O'Leary,United States,Rowing,2020,Japan,,,,0
Poppy Starr Olsen,Australia,Skateboarding,2020,Japan,,,,0
Robert Páez,Venezuela,Diving,2012,United Kingdom,,,,0
Robert Páez,Venezuela,Diving,2016,Brazil,,,,0
Kaia Parnaby,Australia,Softball,2020,Japan,,,,0
Maartje Paumen,The Netherlands,Hockey,2008,China,1,,,1
Maartje Paumen,The Netherlands,Hockey,2012,United Kingdom,1,,,1
Maartje Paumen,The Netherlands,Hockey,2016,Brazil,,1,,1
Doris Pecher,Germany,Diving,1988,South Korea,,,,0
Christinna Pederson,Denmark,Badminton,2012,United Kingdom,,,1,1
Christinna Pederson,Denmark,Badminton,2016,Brazil,,1,,1
Shaina Pellington,United States,Basketball,2020,Japan,,,,0
Otto Peltzer,Germany,Track Athletics,1928,The Netherlands,,,,0
Otto Peltzer,Germany,Track Athletics,1932,United States,,,,0
Fiona Pennie,United Kingdom,Kayaking,2008,China,,,,0
Fiona Pennie,United Kingdom,Kayaking,2016,Brazil,,,,0
Carole Péon,France,Triathlon,2008,China,,,,0
Carole Péon,France,Triathlon,2012,United Kingdom,,,,0
Carlos Peralta,Spain,Swimming,2016,Brazil,,,,0
Mayssa Pessoa,Brazil,Handball,2012,United Kingdom,,,,0
Mayssa Pessoa,Brazil,Handball,2016,Brazil,,,,0
Nesthy Petecio,Phillipines,Boxing,2020,Japan,,1,,1
Babett Peter,Germany,Football,2008,China,,,1,1
Babett Peter,Germany,Football,2016,Brazil,1,,,1
Beate Peters,Germany,Javelin,1984,United States,,,,0
Beate Peters,Germany,Javelin,1988,South Korea,,,,0
Erin Phillips,Australia,Basketball,2008,China,,,,0
Erin Phillips,Australia,Basketball,2016,Brazil,,,,0
David Pichler,United States,Diving,1996,United States,,,,0
David Pichler,United States,Diving,2000,Australia,,,,0
Fernanda Pinilla,Chile,Football,2020,Japan,,,,0
Rafael Polinario,Cuba,Swimming,1980,Russia,,,,0
Cappie Pondexter,United States,Basketball,2008,China,1,,,1
Inger Pors Olsen,Denmark,Rowing,1988,South Korea,,,,0
Inger Pors Olsen,Denmark,Rowing,1996,United States,,,,0
Jillion Potter,United States,Rugby Sevens,2016,Brazil,,,,0
Natalie Powell,United Kingdom,Judo,2016,Brazil,,,,0
Natalie Powell,United Kingdom,Judo,2020,Japan,,,,0
Nicole Pratt,Australia,Tennis,2000,Australia,,,,0
Nicole Pratt,Australia,Tennis,2004,Greece,,,,0
Peter Prijdekker,The Netherlands,Swimming,1972,Germany,,,,0
Celia Quansah,United Kingdom,Rugby Sevens,2020,Japan,,,1,1
Quinn,Canada,Football,2016,Brazil,,,1,1
Quinn,Canada,Football,2020,Japan,1,,,1
Megan Rapinoe,United States,Football,2012,United Kingdom,1,,,1
Megan Rapinoe,United States,Football,2016,Brazil,,,,0
Megan Rapinoe,United States,Football,2020,Japan,,,1,1
Heinrich Ratjen,Germany,High Jump,1936,Germany,,,,0
Lisa Raymond,United States,Tennis,2004,Greece,,,,0
Lisa Raymond,United States,Tennis,2012,United Kingdom,,,1,1
Shanaze Reade,United Kingdom,BMX Cycling,2008,China,,,,0
Shanaze Reade,United Kingdom,BMX Cycling,2012,United Kingdom,,,,0
Mel Reid,United Kingdom,Golf,2020,Japan,,,,0
Aline Villares Reis,Brazil,Football,2016,Brazil,,,,0
Aline Villares Reis,Brazil,Football,2020,Japan,,,,0
Helen Richardson-Walsh,United Kingdom,Hockey,2000,Australia,,,,0
Helen Richardson-Walsh,United Kingdom,Hockey,2008,China,,,,0
Helen Richardson-Walsh,United Kingdom,Hockey,2012,United Kingdom,,,1,1
Helen Richardson-Walsh,United Kingdom,Hockey,2016,Brazil,1,,,1
Kate Richardson-Walsh,United Kingdom,Hockey,2000,Australia,,,,0
Kate Richardson-Walsh,United Kingdom,Hockey,2008,China,,,,0
Kate Richardson-Walsh,United Kingdom,Hockey,2012,United Kingdom,,,1,1
Kate Richardson-Walsh,United Kingdom,Hockey,2016,Brazil,1,,,1
Yoreli Rincon,Colombia,Football,2012,United Kingdom,,,,0
Louise Ritter,United States,High Jump,1984,United States,,,,0
Louise Ritter,United States,High Jump,1988,South Korea,1,,,1
Hannah Roberts,United States,BMX Cycling,2020,Japan,,1,,1
Danni Roche,Australia,Hockey,1996,United States,,,,0
Robbie Rogers,United States,Football,2008,China,,,,0
Craig Rogerson,Australia,Diving,1988,South Korea,,,,0
Craig Rogerson,Australia,Diving,1992,Spain,,,,0
Yulimar Rojas,Venezuela,Triple Jump,2016,Brazil,,1,,1
Yulimar Rojas,Venezuela,Triple Jump,2020,Japan,1,,,1
Trine Rønning,Norway,Football,2008,China,,,,0
Caitlin Rooskrantz,South Africa,Gymnastics,2020,Japan,,,,0
Fanny “Bobbie” Rosenfeld,Canada,Track Athletics,1928,The Netherlands,1,1,,2
Petra Rossner,Germany,Cycling,1988,South Korea,,,,0
Petra Rossner,Germany,Cycling,1992,Spain,1,,,1
Petra Rossner,Germany,Cycling,2000,Australia,,,,0
Olivier Rouyer,France,Football,1976,Canada,,,,0
Leif Rovsing,Denmark,Tennis,1912,Sweden,,,,0
Dayshalee Salamán,Puerto Rico,Basketball,2020,Japan,,,,0
Alexis Sablone,United States,Skateboarding,2020,Japan,,,,0
Senni Salminen,Finland,Triple Jump,2020,Japan,,,,0
Loui Sand,Sweden,Handball,2016,Brazil,,,,0
"Ramon""Guy"" Sandin",Puerto Rico,Diving,1996,United States,,,,0
Enrique “Kike” Sarasola,Spain,Equestrian 3-Day Event,1992,Spain,,,,0
Enrique “Kike” Sarasola,Spain,Equestrian 3-Day Event,1996,United States,,,,0
Enrique “Kike” Sarasola,Spain,Equestrian 3-Day Event,2000,Australia,,,,0
Raven Saunders,United States,Shot Put,2016,Brazil,,,,0
Raven Saunders,United States,Shot Put,2020,Japan,,1,,1
Tessie Savelkouls,The Netherlands,Judo,2016,Brazil,,,,0
Tessie Savelkouls,The Netherlands,Judo,2020,Japan,,,,0
Lotta Schelin,Sweden,Football,2004,Greece,,,,0
Lotta Schelin,Sweden,Football,2008,China,,,,0
Lotta Schelin,Sweden,Football,2012,United Kingdom,,,,0
Lotta Schelin,Sweden,Football,2016,Brazil,,1,,1
Tine Scheuer-Larsen,Denmark,Tennis,1984,United States,,,,0
Tine Scheuer-Larsen,Denmark,Tennis,1988,South Korea,,,,0
Demi Schuurs,The Netherlands,Tennis,2020,Japan,,,,0
Jill Scott,United Kingdom,Football,2020,Japan,,,,0
Jill Scott,United Kingdom,Football,2012,United Kingdom,,,,0
Briana Scurry,United States,Football,1996,United States,1,,,1
Briana Scurry,United States,Football,2000,Australia,,1,,1
Briana Scurry,United States,Football,2004,Greece,1,,,1
Briana Scurry,United States,Football,2008,China,,,,0
Caroline Seger,Sweden,Football,2008,China,,,,0
Caroline Seger,Sweden,Football,2012,United Kingdom,,,,0
Caroline Seger,Sweden,Football,2016,Brazil,,1,,1
Caroline Seger,Sweden,Football,2020,Japan,,1,,1
Guenter Seidel,United States,Equestrian Dressage,1996,United States,,,1,1
Guenter Seidel,United States,Equestrian Dressage,2000,Australia,,,1,1
Guenter Seidel,United States,Equestrian Dressage,2004,Greece,,,1,1
Caster Semenya,South Africa,Track Athletics,2012,United Kingdom,1,,,1
Caster Semenya,South Africa,Track Athletics,2016,Brazil,1,,,1
Alena Sharp,Canada,Golf,2016,Brazil,,,,0
Alena Sharp,Canada,Golf,2020,Japan,,,,0
Kailen Sheridan,Canada,Football,2016,Brazil,,,,0
Kailen Sheridan,Canada,Football,2020,Japan,1,,,1
Kelly Sibley,United Kingdom,Table Tennis,2012,United Kingdom,,,,0
Regina Sigmund,Germany,Judo,1988,South Korea,,,1,1
Edinanci Silva,Brazil,Judo,1996,United States,,,,0
Edinanci Silva,Brazil,Judo,2000,Australia,,,,0
Edinanci Silva,Brazil,Judo,2004,Greece,,,,0
Edinanci Silva,Brazil,Judo,2008,China,,,,0
Jackie Silva,Brazil,Volleyball,1980,Russia,,,,0
Jackie Silva,Brazil,Volleyball,1984,United States,,,,0
Jackie Silva,Brazil,Beach Volleyball,1996,United States,1,,,1
Rafael Silva,Brazil,Judo,2012,United Kingdom,,,,0
Rafael Silva,Brazil,Judo,2016,Brazil,1,,,1
Georgia Simmerling,Canada,Cycling,2016,Brazil,,,1,1
Georgia Simmerling,Canada,Cycling,2020,Japan,,,,0
Renée Sintenis,Germany,Sculpture,1928,The Netherlands,,,,0
Renée Sintenis,Germany,Sculpture,1932,United States,,,,0
Jimmy Sjodin,Sweden,Diving,1996,United States,,,,0
Rikke Skov,Denmark,Handball,2004,Greece,1,,,1
Katarzyna Skorupa,Poland,Volleyball,2008,China,,,,0
Alana Smith,United States,Skateboarding,2020,Japan,,,,0
Katie Smith,United States,Basketball,2000,Australia,1,,,1
Katie Smith,United States,Basketball,2004,Greece,1,,,1
Katie Smith,United States,Basketball,2008,China,1,,,1
Kelly Smith,United Kingdom,Football,2012,United Kingdom,,,,0
Emilce Sosa,Argentina,Volleyball,2016,Brazil,1,,,1
Emilce Sosa,Argentina,Volleyball,2020,Japan,,,,0
Laís Souza,Brazil,Gymnastics,2004,Greece,,,,0
Laís Souza,Brazil,Gymnastics,2008,China,,,,0
Gussje Steenhuis,The Netherlands,Judo,2020,Japan,,,,0
Mari Steinbrecher,Brazil,Volleyball,2004,Greece,,,,0
Mari Steinbrecher,Brazil,Volleyball,2008,China,1,,,1
Helen Stephens,United States,Track and Field Athletics,1936,Germany,2,,,2
Breanna Stewart,United States,Basketball,2016,Brazil,1,,,1
Breanna Stewart,United States,Basketball,2020,Japan,1,,,1
